0,277
1,314
2,279
3,272
4,270
5,282
6,284
7,298
8,309
9,311
10,313
11,307
12,317
13,321
14,312
15,316
16,314
17,314
18,313
19,313
20,311
21,303
22,300
23,293
24,292
25,293
26,294
27,298
28,307
29,306
30,305
31,292
32,280
33,279
34,281
35,288
36,288
37,284
38,282
39,283
40,277
41,275
42,268
43,271
44,281
45,280
46,275
47,289
48,304
49,309
50,311
51,306
52,316
53,302
54,305
55,287
56,297
57,277
58,262
59,272
60,266
61,278
62,278
63,282
64,282
65,276
66,267
67,258
68,258
69,245
70,242
71,246
72,243
73,248
74,249
75,247
76,248
77,253
78,90
79,65
80,212
81,238
82,248
83,232
84,217
85,208
86,206
87,204
88,203
89,210
90,215
91,215
92,214
93,221
94,218
95,223
96,220
97,228
98,223
99,218
100,222
101,225
102,218
103,218
104,228
105,228
106,234
107,233
108,237
109,232
110,240
111,245
112,251
113,250
114,243
115,241
116,249
117,239
118,234
119,240
120,249
121,241
122,245
123,250
124,253
125,257
126,253
127,251
128,251
129,258
130,253
131,253
132,256
133,250
134,257
135,257
136,258
137,257
138,260
139,251
140,246
141,252
142,248
143,247
144,257
145,252
146,258
147,251
148,255
149,260
150,261
151,264
152,266
153,262
154,266
155,261
156,260
157,266
158,261
159,264
160,261
161,260
162,256
163,258
164,264
165,260
166,265
167,271
168,270
169,275
170,272
171,274
172,275
173,270
174,265
175,264
176,261
177,180
178,177
179,186
180,192
181,215
182,216
183,219
184,204
185,200
186,193
187,191
188,195
189,194
190,201
191,203
192,208
193,216
194,217
195,217
196,224
197,222
198,217
199,220
200,213
201,210
202,212
203,214
204,222
205,216
206,225
207,228
208,217
209,228
210,230
211,231
212,234
213,244
214,241
215,240
216,249
217,248
218,251
219,259
220,253
221,249
222,248
223,246
224,249
225,251
226,256
227,250
228,251
229,245
230,248
231,249
232,249
233,252
234,246
235,237
236,238
237,235
238,234
239,229
240,232
241,229
242,236
243,237
244,237
245,237
246,235
247,236
248,242
249,241
250,251
251,250
252,251
253,244
254,246
255,245
256,250
257,247
258,244
259,248
260,247
261,244
262,239
263,250
264,243
265,246
266,247
267,242
268,233
269,234
270,236
271,232
272,237
273,241
274,237
275,246
276,247
277,245
278,248
279,252
280,262
281,262
